Datum,KielerWoche,Bewoelkung,Temperatur,Wettercode,ist_feiertag,Warengruppe_Brot,Warengruppe_Brötchen,Warengruppe_Croissant,Warengruppe_Konditorei,Warengruppe_Kuchen,Warengruppe_Saisonbrot,Wochentag_Monday,Wochentag_Saturday,Wochentag_Sunday,Wochentag_Thursday,Wochentag_Tuesday,Wochentag_Wednesday,Jahreszeit_Herbst,Jahreszeit_Sommer,Jahreszeit_Winter,VPI_Backwaren
2013-07-11,0,0,21.375,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,90.93333333
2013-07-12,0,0,20.2875,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,90.93333333
2013-07-12,0,0,20.2875,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90.93333333
2013-07-12,0,0,20.2875,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,90.93333333
2013-07-12,0,0,20.2875,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90.93333333
2013-07-13,0,1,20.125,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,90.93333333
2013-07-13,0,1,20.125,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,90.93333333
2013-07-13,0,1,20.125,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,90.93333333
2013-07-13,0,1,20.125,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,90.93333333
2013-07-13,0,1,20.125,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,90.93333333
2013-07-14,0,5,17.6875,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,90.93333333
2013-07-14,0,5,17.6875,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,90.93333333
2013-07-14,0,5,17.6875,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,90.93333333
2013-07-14,0,5,17.6875,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,90.93333333
2013-07-14,0,5,17.6875,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,90.93333333
2013-07-15,0,6,18.7375,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,90.93333333
2013-07-15,0,6,18.7375,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,90.93333333
2013-07-15,0,6,18.7375,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,90.93333333
2013-07-15,0,6,18.7375,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,90.93333333
2013-07-15,0,6,18.7375,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,90.93333333
2013-07-16,0,1,21.1875,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,90.93333333
2013-07-16,0,1,21.1875,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,90.93333333
2013-07-16,0,1,21.1875,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,90.93333333
2013-07-16,0,1,21.1875,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,90.93333333
2013-07-16,0,1,21.1875,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,90.93333333
2013-07-17,0,5,22.5125,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,90.93333333
2013-07-17,0,5,22.5125,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,90.93333333
2013-07-17,0,5,22.5125,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,90.93333333
2013-07-17,0,5,22.5125,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,90.93333333
2013-07-18,0,1,23.25,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,90.93333333
2013-07-18,0,1,23.25,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,90.93333333
2013-07-18,0,1,23.25,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,90.93333333
2013-07-18,0,1,23.25,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,90.93333333
2013-07-18,0,1,23.25,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,90.93333333
2013-07-19,0,3,22.475,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,90.93333333
2013-07-19,0,3,22.475,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,90.93333333
2013-07-19,0,3,22.475,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90.93333333
2013-07-19,0,3,22.475,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90.93333333
2013-07-19,0,3,22.475,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,90.93333333
2013-07-20,0,0,23.1875,27,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,90.93333333
2013-07-20,0,0,23.1875,16,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,90.93333333
2013-07-20,0,0,23.1875,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,90.93333333
2013-07-20,0,0,23.1875,16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,90.93333333
2013-07-20,0,0,23.1875,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,90.93333333
2013-07-21,0,0,26.375,16,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,90.93333333
2013-07-21,0,0,26.375,16,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,90.93333333
2013-07-21,0,0,26.375,16,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,90.93333333
2013-07-21,0,0,26.375,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,90.93333333
2013-07-21,0,0,26.375,16,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,90.93333333
2013-07-22,0,0,26.1,19,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,90.93333333
2013-07-22,0,0,26.1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,90.93333333
2013-07-22,0,0,26.1,16,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,90.93333333
2013-07-22,0,0,26.1,19,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,90.93333333
2013-07-22,0,0,26.1,16,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,90.93333333
2013-07-23,0,0,24.95,16,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,90.93333333
2013-07-23,0,0,24.95,19,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,90.93333333
2013-07-23,0,0,24.95,19,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,90.93333333
2013-07-23,0,0,24.95,19,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,90.93333333
2013-07-23,0,0,24.95,31,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,90.93333333
2013-07-24,0,3,24.075,31,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,90.93333333
2013-07-24,0,3,24.075,19,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,90.93333333
2013-07-24,0,3,24.075,19,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,90.93333333
2013-07-24,0,3,24.075,31,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,90.93333333
2013-07-24,0,3,24.075,19,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,90.93333333
2013-07-25,0,2,23.0875,43,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,90.93333333
2013-07-25,0,2,23.0875,31,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,90.93333333
2013-07-25,0,2,23.0875,19,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,90.93333333
2013-07-25,0,2,23.0875,31,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,90.93333333
2013-07-25,0,2,23.0875,28,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,90.93333333
2013-07-26,0,3,27.2625,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,90.93333333
2013-07-26,0,3,27.2625,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,90.93333333
2013-07-26,0,3,27.2625,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90.93333333
2013-07-26,0,3,27.2625,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90.93333333
2013-07-26,0,3,27.2625,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,90.93333333
2013-07-27,0,1,26.1625,46,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,90.93333333
2013-07-27,0,1,26.1625,47,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,90.93333333
2013-07-27,0,1,26.1625,31,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,90.93333333
2013-07-27,0,1,26.1625,46,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,90.93333333
2013-07-28,0,4,24.8875,61,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,90.93333333
2013-07-28,0,4,24.8875,61,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,90.93333333
2013-07-28,0,4,24.8875,61,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,90.93333333
2013-07-28,0,4,24.8875,61,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,90.93333333
2013-07-29,0,1,22.7875,47,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,90.93333333
2013-07-29,0,1,22.7875,47,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,90.93333333
2013-07-29,0,1,22.7875,31,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,90.93333333
2013-07-29,0,1,22.7875,55,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,90.93333333
2013-07-30,0,5,21.075,21,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,90.93333333
2013-07-30,0,5,21.075,21,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,90.93333333
2013-07-30,0,5,21.075,21,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,90.93333333
2013-07-30,0,5,21.075,21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,90.93333333
2013-07-31,0,5,20.275,65,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,90.93333333
2013-07-31,0,5,20.275,65,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,90.93333333
2013-07-31,0,5,20.275,65,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,90.93333333
2013-07-31,0,5,20.275,65,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,90.93333333
2013-08-01,0,6,23.4,21,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,90.43333333
2013-08-01,0,6,23.4,21,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,90.43333333
2013-08-01,0,6,23.4,21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,90.43333333
2013-08-01,0,6,23.4,21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,90.43333333
2013-08-01,0,6,23.4,21,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,90.43333333
2013-08-02,0,0,31.4375,46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90.43333333
2013-08-02,0,0,31.4375,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,90.43333333
2013-08-02,0,0,31.4375,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,90.43333333
2013-08-02,0,0,31.4375,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90.43333333
2013-08-02,0,0,31.4375,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,90.43333333
2013-08-03,0,4,23.3625,63,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,90.43333333
2013-08-03,0,4,23.3625,63,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,90.43333333
2013-08-03,0,4,23.3625,63,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,90.43333333
2013-08-03,0,4,23.3625,63,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,90.43333333
2013-08-03,0,4,23.3625,63,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,90.43333333
2013-08-04,0,3,23.05,37,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,90.43333333
2013-08-04,0,3,23.05,29,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,90.43333333
2013-08-04,0,3,23.05,38,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,90.43333333
2013-08-04,0,3,23.05,37,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,90.43333333
2013-08-04,0,3,23.05,46,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,90.43333333
2013-08-05,0,0,25.8,29,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,90.43333333
2013-08-05,0,0,25.8,38,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,90.43333333
2013-08-05,0,0,25.8,29,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,90.43333333
2013-08-05,0,0,25.8,45,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,90.43333333
2013-08-06,0,5,22.225,37,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,90.43333333
2013-08-06,0,5,22.225,37,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,90.43333333
2013-08-06,0,5,22.225,37,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,90.43333333
2013-08-06,0,5,22.225,21,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,90.43333333
2013-08-06,0,5,22.225,45,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,90.43333333
2013-08-07,0,4,19.2125,37,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,90.43333333
2013-08-07,0,4,19.2125,45,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,90.43333333
2013-08-07,0,4,19.2125,46,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,90.43333333
2013-08-07,0,4,19.2125,37,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,90.43333333
2013-08-07,0,4,19.2125,46,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,90.43333333
2013-08-08,0,7,16.975,20,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,90.43333333
2013-08-08,0,7,16.975,20,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,90.43333333
2013-08-08,0,7,16.975,20,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,90.43333333
2013-08-08,0,7,16.975,20,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,90.43333333
2013-08-08,0,7,16.975,20,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,90.43333333
2013-08-09,0,4,20.3375,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90.43333333
2013-08-09,0,4,20.3375,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90.43333333
2013-08-09,0,4,20.3375,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,90.43333333
2013-08-09,0,4,20.3375,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,90.43333333
2013-08-09,0,4,20.3375,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,90.43333333
2013-08-10,0,7,19.3625,61,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,90.43333333
2013-08-10,0,7,19.3625,61,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,90.43333333
2013-08-10,0,7,19.3625,61,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,90.43333333
2013-08-10,0,7,19.3625,61,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,90.43333333
2013-08-10,0,7,19.3625,61,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,90.43333333
2013-08-11,0,7,16.3875,61,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,90.43333333
2013-08-11,0,7,16.3875,61,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,90.43333333
2013-08-11,0,7,16.3875,61,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,90.43333333
2013-08-11,0,7,16.3875,61,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,90.43333333
2013-08-11,0,7,16.3875,61,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,90.43333333
2013-08-12,0,7,16.45,63,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,90.43333333
2013-08-12,0,7,16.45,63,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,90.43333333
2013-08-12,0,7,16.45,63,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,90.43333333
2013-08-12,0,7,16.45,63,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,90.43333333
2013-08-12,0,7,16.45,63,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,90.43333333
2013-08-13,0,3,16.4,95,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,90.43333333
2013-08-13,0,3,16.4,95,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,90.43333333
2013-08-13,0,3,16.4,95,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,90.43333333
2013-08-13,0,3,16.4,95,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,90.43333333
2013-08-13,0,3,16.4,95,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,90.43333333
2013-08-14,0,4,18.2625,61,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,90.43333333
2013-08-14,0,4,18.2625,61,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,90.43333333
2013-08-14,0,4,18.2625,61,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,90.43333333
2013-08-14,0,4,18.2625,61,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,90.43333333
2013-08-14,0,4,18.2625,61,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,90.43333333
2013-08-15,0,3,19.8,56,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,90.43333333
2013-08-15,0,3,19.8,37,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,90.43333333
2013-08-15,0,3,19.8,54,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,90.43333333
2013-08-15,0,3,19.8,44,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,90.43333333
2013-08-15,0,3,19.8,31,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,90.43333333
2013-08-16,0,4,23.575,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90.43333333
2013-08-16,0,4,23.575,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,90.43333333
2013-08-16,0,4,23.575,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,90.43333333
2013-08-16,0,4,23.575,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,90.43333333
2013-08-16,0,4,23.575,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90.43333333
2013-08-17,0,6,20.55,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,90.43333333
2013-08-17,0,6,20.55,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,90.43333333
2013-08-17,0,6,20.55,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,90.43333333
2013-08-17,0,6,20.55,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,90.43333333
2013-08-17,0,6,20.55,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,90.43333333
2013-08-18,0,7,18.5875,63,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,90.43333333
2013-08-18,0,7,18.5875,63,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,90.43333333
2013-08-18,0,7,18.5875,63,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,90.43333333
2013-08-18,0,7,18.5875,63,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,90.43333333
2013-08-18,0,7,18.5875,63,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,90.43333333
2013-08-19,0,5,18.4875,25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,90.43333333
2013-08-19,0,5,18.4875,33,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,90.43333333
2013-08-19,0,5,18.4875,37,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,90.43333333
2013-08-19,0,5,18.4875,37,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,90.43333333
2013-08-19,0,5,18.4875,50,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,90.43333333
2013-08-20,0,7,17.775,61,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,90.43333333
2013-08-20,0,7,17.775,61,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,90.43333333
